City,Place,Ratings,Distance,Place_desc,Latitude,Longitude,Keywords,Tags,Category
Manali,  Jogini Waterfall ,4.6, 4 km  from city center , Jogini Waterfall is located about 3 kilometres away from the bustling town of Manali and around 2 kilometres away from Vashisht Temple. Tourists have to trek ahead from the temple to reach Jogini Waterfall.  ,32.2767439,77.1905539,"['jogini', 'waterfall', 'jogini', 'waterfall', 'located', '3', 'kilometres', 'away', 'bustling', 'town', 'manali', 'around', '2', 'kilometres', 'away', 'vashisht', 'temple', 'tourists', 'trek', 'ahead', 'temple', 'reach', 'jogini', 'waterfall']","['jogini', 'waterfall', 'kilometres', 'away', 'temple']",nature
Manali,  Hadimba Temple ,4.4, 1 km  from city center ," Hadimba temple, away from the hustle and bustle of city life,  is a peaceful place surrounded by towering deodar trees. The temple is dedicated to Hidimba, the wife of Bhima, one of the five Pandava prince from the great Indian epic Mahabharata. The main attraction of the temple is the three day Hidimba Devi Festival, which attracts devotees from all over the world and features colourful folk dance performances. ",32.2483855,77.1809861,"['hadimba', 'temple', 'hadimba', 'temple', 'away', 'hustle', 'bustle', 'city', 'life', 'peaceful', 'place', 'surrounded', 'towering', 'deodar', 'trees', 'temple', 'dedicated', 'hidimba', 'wife', 'bhima', 'one', 'five', 'pandava', 'prince', 'great', 'indian', 'epic', 'mahabharata', 'main', 'attraction', 'temple', 'three', 'day', 'hidimba', 'devi', 'festival', 'attracts', 'devotees', 'world', 'features', 'colourful', 'folk', 'dance', 'performances']","['hadimba', 'temple', 'hidimba']",art & culture
Manali,  Rohtang Pass ,4.4, 16 km  from city center ," Rohtang pass is the stretch which connects Manali to Himachal's more dreamy and dessert-like landscapes, Spiti and Lahaul. This vast snow desert is a landscape like only a few other and a view one should not miss. Popular adventure sports here are sledge ride, mountain biking, and skiing. Many blockbusters ranging from 'Jab We Met' to 'Yeh Jawani Hai Deewani' have been shot here.  ",32.3710034,77.2462692,"['rohtang', 'pass', 'rohtang', 'pass', 'stretch', 'connects', 'manali', 'himachal', 'dreamy', 'landscapes', 'spiti', 'lahaul', 'vast', 'snow', 'desert', 'landscape', 'like', 'view', 'one', 'miss', 'popular', 'adventure', 'sports', 'sledge', 'ride', 'mountain', 'biking', 'skiing', 'many', 'blockbusters', 'ranging', 'met', 'jawani', 'hai', 'deewani', 'shot']","['rohtang', 'pass']",nature
Manali,  Naggar ,3.4, 14 km  from city center ," Naggar is an unexplored and modest town in the Kullu district, which will give you all the time to leisurely walk around, rest and rejuvenate amongst mountains, valleys, lush greenery and the River Beas flowing in much proximity. ",32.1132488,77.1640042,"['naggar', 'naggar', 'unexplored', 'modest', 'town', 'kullu', 'district', 'give', 'time', 'leisurely', 'walk', 'around', 'rest', 'rejuvenate', 'amongst', 'mountains', 'valleys', 'lush', 'greenery', 'river', 'beas', 'flowing', 'much', 'proximity']",['naggar'],nature
Manali,  Bhrigu Lake ,3.2, 8 km  from city center , Bhrigu Lake is a high altitude lake located in the district of Kullu about 40 kilometres away from Manali. The route to the lake passes through mesmerising meadows. Not many tourists know about the beautiful Bhrigu Lake Meadows that can be compared with the alpine meadows found at high altitude locations like Switzerland.  ,32.293260450000005,77.24249845053106,"['bhrigu', 'lake', 'bhrigu', 'lake', 'high', 'altitude', 'lake', 'located', 'district', 'kullu', '40', 'kilometres', 'away', 'manali', 'route', 'lake', 'passes', 'mesmerising', 'meadows', 'many', 'tourists', 'know', 'beautiful', 'bhrigu', 'lake', 'meadows', 'compared', 'alpine', 'meadows', 'found', 'high', 'altitude', 'locations', 'like', 'switzerland']","['bhrigu', 'lake', 'high', 'altitude', 'meadows']",nature
Manali,  Kullu ,3.4, 32 km  from city center ," This sister town to Manali too, is a hill station of dreamy landscapes and sceneries, a hub of adventure activities as well as home to a number of sacred temples and shrines. ",32.00186325,77.37899639741332,"['kullu', 'sister', 'town', 'manali', 'hill', 'station', 'dreamy', 'landscapes', 'sceneries', 'hub', 'adventure', 'activities', 'well', 'home', 'number', 'sacred', 'temples', 'shrines']",[],nature
Manali,  Adventure Activities ,3.7, 12 km  from city center ," Manali is the hub of adventure activities in Himachal Pradesh. From white river rafting to trekking opportunities to zorbing to horse-riding to skiing to paragliding, Manali has everything to offer. ",40.742416250000005,-73.74141844279342,"['adventure', 'activities', 'manali', 'hub', 'adventure', 'activities', 'himachal', 'pradesh', 'white', 'river', 'rafting', 'trekking', 'opportunities', 'zorbing', 'skiing', 'paragliding', 'manali', 'everything', 'offer']","['adventure', 'activities', 'manali']",nature
Manali,  Gayatri temple ,3.4, 5 km  from city center ," Situated 7 km away from Manali, the Gayatri temple houses an idol of Goddess Gayatri, made of marble. This temple has some splendid architecture styles, is constructed with a stunning artistic finesse and with some of the most intricate woodwork. ",12.9133609,77.5248364,"['gayatri', 'temple', 'situated', '7', 'km', 'away', 'manali', 'gayatri', 'temple', 'houses', 'idol', 'goddess', 'gayatri', 'made', 'marble', 'temple', 'splendid', 'architecture', 'styles', 'constructed', 'stunning', 'artistic', 'finesse', 'intricate', 'woodwork']","['gayatri', 'temple']",art & culture
Leh Ladakh,  Pangong Lake ,4.4, 156 km  from city center ," The most popular tourist attraction in Ladakh, Pangong lake is an endorheic (landlocked) lake situated at 4350 meters. Also known as Pangong Tso it is 12 kilometres long and extends from India to Tibet. Almost 60% of Pangong Lake lies in the Tibetan Autonomous Region. A unique feature of the lake is that it does not remain blue throughout the year or even the day, rather it changes colours from azure to light blue to green and grey too! It is famous amongst tourists as Ladakh lake, the spot where the Bollywood movie ""3 Idiots"" was shot. ",33.706991,78.82083629049578,"['pangong', 'lake', 'popular', 'tourist', 'attraction', 'ladakh', 'pangong', 'lake', 'endorheic', 'landlocked', 'lake', 'situated', '4350', 'meters', 'also', 'known', 'pangong', 'tso', '12', 'kilometres', 'long', 'extends', 'india', 'tibet', 'almost', '60', 'pangong', 'lake', 'lies', 'tibetan', 'autonomous', 'region', 'unique', 'feature', 'lake', 'remain', 'blue', 'throughout', 'year', 'even', 'day', 'rather', 'changes', 'colours', 'azure', 'light', 'blue', 'green', 'grey', 'famous', 'amongst', 'tourists', 'ladakh', 'lake', 'spot', 'bollywood', 'movie', '3', 'idiots', 'shot']","['pangong', 'lake', 'ladakh', 'blue']",nature
Leh Ladakh,  Khardung La Pass ,4.3, 20 km  from city center ," Khardung La, also known as Khardzong La, is one of the highest motorable roads in India at an elevation of 5602 metres. It serves as the gateway to Shyok and Nubra Valley. An inner line permit is required to visit. It remains closed from October to May. ",34.2786625,77.6046891,"['khardung', 'la', 'pass', 'khardung', 'la', 'also', 'known', 'khardzong', 'la', 'one', 'highest', 'motorable', 'roads', 'india', 'elevation', '5602', 'metres', 'serves', 'gateway', 'shyok', 'nubra', 'valley', 'inner', 'line', 'permit', 'required', 'visit', 'remains', 'closed', 'october', 'may']","['khardung', 'la']",nature
