restId,name,cuisine,aggregate_rating,rating_votes,dining_rating,dining_review_count,delivery_rating,delivery_review_count,timing,people_say,top_dishes,address,location_longitude,location_latitude,url,cost_for_two
19999838,Magic Spoon,"Pizza, Street Food",3.4,14,,0,3.4,14,12midnight – 11:58pm (Today),"Healthy and Delicious, Spill Proof Packaging, Fresh Food with Good Quality, Best Food under Best Budget, Extensive Menu, Great Portions",,"Serial 35/17/1, Pansare Nagar, Hadapsar, Undri, Pune",73.8880294561,18.4346421877,https://www.zomato.com/pune/magic-spoon-undri,₹200 for one order (approx.)
20033509,Crazy Bites,Chinese,0,5,,,,,11am – 12midnight (Today),,,"Sr 92/21, Krishna Nagar Society, Vadban, Mundhwa, Pune",73.922703,18.534819,https://www.zomato.com/pune/crazy-bites-mundhwa,₹250 for one order (approx.)
19499530,Kekiz The Cake Shop,Bakery,0,4,,0,,4,10am – 11pm (Today),,,"Shop 3, Yashashree Garden, Near Cummins College, Karve Nagar, Pune",73.8138093799,18.4883471467,https://www.zomato.com/pune/kekiz-the-cake-shop-karve-nagar,₹300 for two people (approx.)
19457756,Cafe From The Tree,"Italian, Pizza, Fast Food, Beverages, Shake",4.1,160,4.1,160,3.6,149,12noon – 10pm (Today),"Ambience is Delightful, Great Place for Family, Best Staff, Comforting Atmosphere, Fantastic Decoration, Very Affordable","Pesto Pasta, Milkshakes, Pizzas, Garlic Bread","Survey 16, Shop D-7, Athashri, Dhankude Vasti, Opposite 24K Sereno, Pancard Club Road, Baner, Pune",73.7796843052,18.5535456775,https://www.zomato.com/pune/cafe-from-the-tree-baner,₹700 for two people (approx.)
19848597,Lajawab Hyderabad,"North Indian, Biryani",0,0,,0,,0,Opens at 6pm,,,"Shop 2, Yashawant Nagar, Kharadi, Pune",73.9348344211,18.5548024266,https://www.zomato.com/pune/lajawab-hyderabad-kharadi,₹300 for one order (approx.)
19955824,Lallantop - The Dhaba Bar,"Bar Food, Mughlai, North Indian, Chinese, Fast Food, Beverages",3.7,63,3.7,63,,8,12noon – 12midnight (Today),"Great Place for Family, Best in Service, Affordable Prices, Best Food under Best Budget, Elaborate Menu, Fresh Food",,"Shop 1& 2, Survey 202/203, The Mint, Baner, Pune",73.7922546,18.5592017,https://www.zomato.com/pune/lallantop-the-dhaba-bar-baner,₹900 for two people (approx.) Without alcohol
20105009,R.A.Y's Exotic Kitchen,"Chinese, Street Food",0,14,,,,,Opens at 4:30pm,,,"N5/101, Nakshatram, Near Premlok Park, Chinchwad, Pune",73.7802654,18.6405702,https://www.zomato.com/pune/r-a-ys-exotic-kitchen-chinchwad,₹100 for one order (approx.)
19522288,Nawabi The RJ Biryani,Biryani,0,1,,0,,1,11:30am – 11pm (Today),,,"Shop 25, Graficon Arcade, Sasoon Road, Sangamvadi, Bund Garden Road, Pune",73.931453,18.519797,https://www.zomato.com/pune/nawabi-the-rj-biryani-bund-garden,₹200 for one order (approx.)
10981,Nawab Asia,"North Indian, Chinese, Mughlai, Biryani, Desserts, Beverages",4.3,1187,4.3,1187,4.1,1021,Opens at 6:30pm,"Themed Decor, Courteous Service, Decent Ambience, Beautiful Ambience, Server, Amazing Ambience","Drunken Chicken, Mughlai Food, Paneer Makhani, Kulfi, Kababs, Buffet","1st Floor, San Mahu Complex, Camp Area, Pune",73.8778437674,18.5225234908,https://www.zomato.com/pune/nawab-asia-camp-area,"₹1,300 for two people (approx.) Without alcohol"
6507454,Shree Krishna Pizza,"Fast Food, Italian, Beverages",3.9,168,3.9,168,4.2,1654,12:04pm – 11pm (Today),"Plenty of Vegetarian Options, Elegantly Decorated, Great Recommendations, Worth the Money, Great Place, Music",,"709, Taboot Street, Opposite Shiv World, Camp Area, Pune",73.8777562603,18.5142827877,https://www.zomato.com/pune/shree-krishna-pizza-camp-area,₹400 for two people (approx.)
