restId,name,cuisine,aggregate_rating,rating_votes,dining_rating,dining_review_count,delivery_rating,delivery_review_count,timing,people_say,top_dishes,address,location_longitude,location_latitude,url,cost_for_two
19457756,Cafe From The Tree,"Italian, Pizza, Fast Food, Beverages, Shake",4.1,160,4.1,160.0,3.6,149,12noon – 10pm (Today),"Ambience is Delightful, Great Place for Family, Best Staff, Comforting Atmosphere, Fantastic Decoration, Very Affordable","Pesto Pasta, Milkshakes, Pizzas, Garlic Bread","Survey 16, Shop D-7, Athashri, Dhankude Vasti, Opposite 24K Sereno, Pancard Club Road, Baner, Pune",73.7796843052,18.5535456775,https://www.zomato.com/pune/cafe-from-the-tree-baner,₹700 for two people (approx.)
10981,Nawab Asia,"North Indian, Chinese, Mughlai, Biryani, Desserts, Beverages",4.3,1187,4.3,1187.0,4.1,1021,Opens at 6:30pm,"Themed Decor, Courteous Service, Decent Ambience, Beautiful Ambience, Server, Amazing Ambience","Drunken Chicken, Mughlai Food, Paneer Makhani, Kulfi, Kababs, Buffet","1st Floor, San Mahu Complex, Camp Area, Pune",73.8778437674,18.5225234908,https://www.zomato.com/pune/nawab-asia-camp-area,"₹1,300 for two people (approx.) Without alcohol"
6503933,Lazeez By Hyderabadi Delicacies,"Mughlai, North Indian, Biryani, Chinese, Rolls, Desserts, Beverages",3.9,768,3.9,768.0,3.8,12K,12noon – 12midnight (Today),"Seating Area, Good Quantity, Amazing Food, Good Taste, Great Taste, Main Course","Mutton Hyderabadi Dum Biryani, Kababs, Butter Naan, Tandoori Chicken","Shop 7, Nyati Millennium, Dutta Mandir Chowk, Viman Nagar, Pune",73.9162942395,18.5636625661,https://www.zomato.com/pune/lazeez-by-hyderabadi-delicacies-viman-nagar,₹700 for two people (approx.)
6503653,Global Punjab,"North Indian, Mughlai, Chinese, Malwani, Desserts",4.2,1021,4.2,1021.0,4.0,8804,Opens at 7pm,"Professional Behaviour, Serving Size, Good Hospitality, Relaxed Atmosphere, Good Value, Best Restaurant","Tangdi Mumtaz, Authentic Punjabi Food, Sea Food, Paneer Butter Masala, Dal Makhni, Masala Papad","Shop 2 & 3, Ganga Constella, Near EON Free IT Park, Kharadi, Pune",73.9496545494,18.5563576797,https://www.zomato.com/pune/global-punjab-kharadi,₹900 for two people (approx.)
19871672,Log House Restaurant,"North Indian, Mughlai, Maharashtrian, Biryani, Chinese, Beverages",3.8,56,3.8,56.0,4.0,53,5:30am – 11:30pm (Today),"Open Seating Area, Comforting Atmosphere, Fair Prices, Appetizers, Served Quickly, Proper Packaging","Diwani Handi, Chai, Naan, Tea, Biryani, Chicken","Shop 2, Atharva Residency, Baner, Pune",73.7945645,18.5556482,https://www.zomato.com/pune/log-house-restaurant-baner,₹700 for two people (approx.)
18382838,Nawab Asia,"North Indian, Chinese, Mughlai, Biryani, Desserts, Beverages",4.3,1331,4.3,1331.0,4.0,4015,Opens at 6:30pm,"Classy Ambience, Gastronomical Experience, Comfortable Seating, Great Restaurant, Fancy Crowd, Good Value","Lalla Mussa Dal, Paneer Kali Mirch, Crab Meat Soup, Karari Roti, Galouti Kebab, Crispy Corn","Unit 5/6/7/8, Ground Floor, Cummin India Office Complex, Balewadi High Street, Baner, Pune",73.7747037783,18.5694826042,https://www.zomato.com/pune/nawab-asia-1-baner,"₹1,300 for two people (approx.) Without alcohol"
18671342,Basilio,"Italian, Pizza, Pasta, Burger, Fast Food, Beverages",4.1,318,4.1,318.0,3.6,740,12:30pm – 11pm (Today),"Good for Large Groups, Relaxed Atmosphere, Good Options, Cozy Place, Perfect Presentation, Contactless Delivery","Paneer Peri Peri, Classic Margherita, Peri Peri Sauce, Paneer Pizza, Thin Crust Pizza, Salsa","Shop 3, 137/1 And 138/1A/2, Radha Apartment, Aundh, Pune",73.8055733219,18.5578362905,https://www.zomato.com/pune/basilio-aundh,₹500 for two people (approx.)
18564420,Riwaayat,"North Indian, Chinese, Mughlai, Beverages",3.9,260,3.9,260.0,4.0,1788,11am – 11:30pm (Today),"Comfortable Seating Area, Family Place, Packed on Weekends, Food Quantity, Family Crowd, Decor","Lahori Chicken, Masala Papad, Raita, Kebabs, Naan","Shop 1-3, Near Ramkrishna More Auditorium, Chinchwad, Pune",73.7861430645,18.6335632929,https://www.zomato.com/pune/riwaayat-chinchwad,₹800 for two people (approx.)
19490741,Witcher's Den,"Cafe, Continental, North Indian, Desserts, Fast Food, Beverages",3.9,54,3.9,54.0,4.1,47,12noon – 11pm (Today),"Quick Serving, Awesome Spot to Hangout, Cashless Payments, Economical Price, Comforting Atmosphere, Excellent Location","Black Buns, Chicken Burger, Burgers, Fries, Cake, Pasta","Shop 1, Ground Floor, Building C-1, Rakshalekha CHS, Lane 5, Koregaon Park, Pune",73.8971144333,18.5345234774,https://www.zomato.com/pune/witchers-den-koregaon-park,₹500 for two people (approx.)
18292670,Elephant & Co.,"Continental, Modern Indian, Asian, Italian, Finger Food, Beverages",4.5,1580,4.5,1580.0,4.1,494,11am – 12midnight (Today),"Great Food Great Service, Good Food Good Quality, Shack, Efficient Service, Great Vibe, Live Band","Crispy Pita Bread, Mushroom Crepes, Lotus Stem Honey Chilli, Sweet Potato Fries, Farmhouse Pizza, Lamb Chops","18, Survey 213, 214 & 215/2, Yerwada, Kalyani Nagar, Pune",73.90072,18.54701,https://www.zomato.com/pune/elephant-co-kalyani-nagar,"₹1,500 for two people (approx.) with alcohol"
