Festival Name,Description,Start Date,End Date,Category,Regions Celebrated,Most Famous Places,Activities,Unique Celebrations,Image URL
Ganesh Chaturthi,Celebration of Lord Ganesha's birth,Aug/Sep (lunar),Aug/Sep (lunar),Religious,Statewide,"Lalbaugcha Raja, Siddhivinayak Temple, Ganesh Galli","Idol installation, pujas, processions, cultural programs","Largest Ganesha idol in Mumbai, celebrity visits","Image of Lalbaugcha Raja, Mumbai https//lalbaugcharaja.com/en/<br>Image of Siddhivinayak Temple, Mumbai https//www.siddhivinayak.org/<br>Image of Ganesh Galli, Mumbai https//en.wikipedia.org/wiki/Lalbaugcha_Raja"
Gudi Padwa,Marathi New Year,Mar/Apr (lunar),Mar/Apr (lunar),Cultural,Statewide,"Shaniwar Wada, Saras Baug, Fergusson College Road","Raising colorful 'gudi' flags, family gatherings, traditional food stalls","Ful padya' flower market, procession with decorated horses","Image of Shaniwar Wada, Pune https//en.wikipedia.org/wiki/Shaniwar_Wada<br>Image of Saras Baug, Pune https//en.wikipedia.org/wiki/Sarasbaug<br>Image of Fergusson College Road, Pune https//en.wikipedia.org/wiki/Fergusson_College"
Diwali,Festival of lights,Oct/Nov (lunar),Oct/Nov (lunar),"Religious, Cultural",Statewide,"New Palace, Rankala Lake, Mahalaxmi Temple","Lighting diyas, rangoli making, exchanging gifts, fireworks","Grand illumination of New Palace, boat rides on Rankala Lake","Image of New Palace, Kolhapur https//en.wikipedia.org/wiki/New_Palace,_Kolhapur<br>Image of Rankala Lake, Kolhapur https//en.wikipedia.org/wiki/Rankala_Lake<br>Image of Mahalaxmi Temple, Kolhapur https//en.wikipedia.org/wiki/Mahalakshmi_Temple,_Kolhapur"
Shivaji Jayanti,Birthday of Chhatrapati Shivaji Maharaj,Feb 19,Feb 19,"Cultural, Historical",Statewide,"Fort Raireshwar, Shivaji Maharaj's Statue","Processions, cultural programs, wreath-laying ceremonies","Traditional marathi cuisine stalls, folk performances","Image of Fort Raireshwar, Satara https//en.wikipedia.org/wiki/Raireshwar<br>Image of Shivaji Maharaj's Statue, Satara https//en.wikipedia.org/wiki/Shiv_Smarak"
Narali Pournima,Coconut Offering to the Sea,Full Moon in Aug/Sep (lunar),Full Moon in Aug/Sep (lunar),Religious,Coastal regions,"Bhatye Beach, Ganapatipule Beach","Offering coconuts to the sea for safe passage and good fortune, sand art competitions",Unique rituals specific to different coastal villages,"Image of Bhatye Beach, Ratnagiri https//en.wikipedia.org/wiki/Ratnagiri<br>Image of Ganapatipule Beach, Ratnagiri https//en.wikipedia.org/wiki/Ganpatipule"
"Shanivar Wada Festival, Pune",Celebrates the Peshwa era with cultural programs and light shows,Nov/Dec,Nov/Dec,"Cultural, Historical",Pune,Shaniwar Wada Fort,"Traditional performances, food stalls, light shows",Reenactments of historical events,"Image of Shaniwar Wada Festival, Pune [[invalid URL removed]]([invalid URL removed])"
"Ellora Festival, Aurangabad",Showcases cave temple art and culture with music and dance performances,Feb,Feb,"Cultural, Historical",Aurangabad,Ellora Caves,"Classical music concerts, dance performances, light shows",Illuminates the cave temples for a unique experience,"Image of Ellora Festival, Aurangabad [[invalid URL removed]]([invalid URL removed])"
"Sinhagad Fort Jatra, Pune",Celebrates the Maratha warrior Tanaji Malusare with a trek and cultural programs,Feb/Mar,Feb/Mar,"Religious, Historical",Pune,Sinhagad Fort,"Trek to the fort, puja at Tanaji Malusare's samadhi, cultural performances",Traditional songs and dances depicting Maratha valor,"Image of Sinhagad Fort Jatra, Pune [[invalid URL removed]]([invalid URL removed]) pune/sinhagadfortjatra pune.jpg"
"Nashik Kumbh Mela, Nashik",Huge Hindu pilgrimage gathering held every 3 years,Varies (Jan/Feb or Jul/Aug),Varies (Jan/Feb or Jul/Aug),Religious,Nashik,Godavari River banks,"Holy dips in the Godavari River, religious processions, spiritual discourses",Largest gathering of Hindu pilgrims in the world,"Image of Nashik Kumbh Mela, Nashik [[invalid URL removed]]([invalid URL removed])"
"Mahabaleshwar Strawberry Festival, Satara",Celebrates the harvest of fresh strawberries with food stalls and entertainment,Mar,Mar,"Cultural, Agricultural",Mahabaleshwar,Mahabaleshwar Market,"Strawberry-themed food stalls, live music, strawberry picking competitions",Unique strawberry-based dishes and drinks,"Image of Mahabaleshwar Strawberry Festival, Satara [[invalid URL removed]]([invalid URL removed])"
