Location,Tags,Wikipedia,City,Comment,Rating,Latitude,Longitude,Category
Sandhan Valley,"Canyons, Zoos","Akole is a city and Taluka in Akole tehsil, Ahmednagar district in the state of Maharashtra, India. Akole is surrounded by the Sahyadri Mountains of Western Ghats, India. Several historical sites in the city honor Akole's connection to the history and culture of Maharashtra.[1]
Sheshnarayan Temple, also known as Sheshnarayan temple, was built in 1795, and it is located about 150 metres (490Â ft) Kumbhefhal akole.
Agasti Rishi Ashram is situated on the banks of the Pravara River. Mentioned in the Ramayana, it is believed that Lord Ram, Lakshman and Sita visited Sage Agastya here, where the Rishi then offered Lord Ram a miraculous arrow which he later used to kill Ravan.[6]",Shinganwadi,"This is the headquarters of the post office in Mumbai. The structure is huge, with 3 to 4 doors, you can enter the building. It is a stone building about 150-200 years old. It can be better maintained. This building is a very impressive architectural monument to British influence in the early 20th century. Have a look.",4.0,19.5010547,73.6666802,"Nature, Entertainment"
Amboli,Zoos,"Amboli may refer to:

.mw-parser-output .dmbox{display:flex;align-items:center;clear:both;margin:0.9em 1em;border-top:1px solid #ccc;border-bottom:1px solid #ccc;padding:0.25em 0.35em;font-style:italic}.mw-parser-output .dmbox>*{flex-shrink:0;margin:0 0.25em}.mw-parser-output .dmbox-body{flex-grow:1;flex-shrink:1;padding:0.1em 0}.mw-parser-output .dmbox-invalid-type{text-align:center}",Sindhudurg,"This is a green place in Pune, full of impressive tall trees. There are not many birds and the garden is not very big. The mosquito zoo is everywhere and has been in disrepair and due to the small road, the road parking near the park is prone to traffic jams.",3.5,28.7782095,95.9006268,Entertainment
Appu Ghar,Theme Parks,"Appu Ghar was an amusement park operated by International Amusement Limited, located in Pragati Maidan, New Delhi, India.[2] It was spread over 15.5 acres (63,000Â m2) of land and was India's first amusement park.[3] It was established in 1984 to commemorate the 1982 Asian Games, and it was inaugurated on 19 November 1984 by then-Prime Minister of India, Rajiv Gandhi.[4] The park closed down in 2008 after a legal ruling allocating the land for government use.
Appu Ghar was named after its mascot, an elephant named ""Appu"", while ""Ghar"" means house in Hindi. Appu was a live elephant mascot that became the star of the 1982 Asian Games held in New Delhi.[2]
Then-Indian Prime Minister, Indira Gandhi, assigned the task to create India's first amusement park to International Amusement Ltd. (IAL) headed by Narinder Malik, a Sweden-based NRI and Gian Vijeshwar,[2] another Sweden-based NRI with an aim to provide free access to underprivileged children.[4] It was inaugurated on 19 November 1984 by Rajiv Gandhi then Indian Prime Minister, after his mother Indira Gandhi's assassination on the occasion of her birthday, this was his first public appearance.[5] Appu Ghar quickly became a crowd puller for the residents of the Indian capital as well as those of neighbouring towns.",Pune,"The river has many twists and turns, the river is quite rapid, some people are drifting here.",4.0,28.4607394,77.07220020317564,Entertainment
Balapur Fort,Historical Sites,"Balapur Fort is a Mughal fortress in the town of Balapur in the Akola district of India. Construction on the fort was started by Mirza Azam Shah, the son of Emperor Aurangzeb and it was completed by Ismaeel Khan, the Nawab of Elichpur in 1757. The chhatri of Raja Man Singh I, a canopy constructed by Mirza Raja Jaisingh, has an area of 25 square feet and a height of 33 feet. Its foundations were heavily damaged in a great flood called the 'dhvdya pur' which occurred more than 100 years ago, but after some years the damage was repaired at a cost of Rs 3,000 received from Jaipur.
The old Gazetteer states, ""People are sufficiently educated to scrawl their names on all parts of the chhatri, and a stone in the middle has been coloured with the ubiquitous sacred red. The frivolous say that visitors to the chhatri must do three thing Firstly, they should note the char bot ki patthar, four-fingers stone, which has been set in near the top of a pillar on the soul. In 1616, Shah Nawaz Khan, the Subedar of Barar was camping at Balapur. The defeated Malik Ambar attacked him near Kirkee by way of Rohinkheda pass. But he could not hold for long and had to retreat to Balapur. Aurangzeb, after ascending the imperial throne at Delhi, appointed Raja Jaisingh as the Governor of the Dakkan. He constructed the Chattri of Raja Man Singh - an umbrella-shaped pavilion, 25 feet square and 33 feet in height at Balapur. Mirza Azam Shah, son of Aurangzeb, is said to have lived here and to have built a mud fort. It may be noted that as per the Treaty of Purandar, the Balapur pargana along with the Avandhe pargana was given in the name of Sambhaji as a Jageer and he was made a commandant of 5,000.""
The Balapur fort is situated in Balapur, a large town located at the junction of the rivers Man and Bhains, in west-central India.",Shelad,"There are more churches here, other scenery is very general, not very good",3.0,20.67069935,76.77369547988769,Fort
Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Museums,"Chhatrapati Shivaji Maharaj Vastu Sangrahalaya, (CSMVS) originally named Prince of Wales Museum of Western India, is a museum in Mumbai (Bombay) which documents the history of India from prehistoric to modern times.[3]
It was founded during British rule of India in the early years of the 20th century by prominent citizens of the city then called Bombay, with the help of the government, to commemorate the visit of the Prince of Wales (later George V, king of the United Kingdom and emperor of India). It is located in the heart of South Mumbai near the Gateway of India. The museum was renamed in 1998 after Chhatrapati Shivaji Maharaj, the founder of the Maratha Empire.
The building is built in the Indo-Saracenic style of architecture, incorporating elements of other styles of architecture like the Mughal, Maratha and Jain. The museum building is surrounded by a garden of palm trees and formal flower beds.",Mumbai,"The famous Prince of Wales Museum is located in Mumbai, India, very British style, very typical European architecture, this is the cultural wealth left by the British colonial period, it is lingering.",4.5,18.926877249999997,72.83259207655172,Museums
Colaba,Featured Neighborhoods,"Colaba ([koËˆlaËbaË]; or ISO: KolÄbÄ) is a part of the city of Mumbai, India. It is one of the four peninsulas of Mumbai while the other three are Worli, Bandra and Malabar Hill. During Portuguese rule in the 16th century, the island was known as Kolbhat. After the British took over the island in the late 17th century, it was known as Kolio.[citation needed]
The name Colaba comes from Kolabhat, a word in the language of Kolis, the indigenous inhabitants of the islands, before the arrival of the Portuguese.[2] The area that is now Colaba was originally a region consisting of two islands: Colaba and Little Colaba (or Old Woman's Island). The island of Colaba was one of the Seven Islands of Mumbai ruled by the Portuguese.
The Portuguese had acquired these lands from the Sultanate of Cambay by the Treaty of Vasai (1534). The group of islands was given by Portugal to Charles II of England as a dowry when he married Catherine of Braganza in 1661. The cession of Mumbai and dependencies was strongly resented by Portuguese officials in Goa and Mumbai, who resisted transfer of possession for several years, while the English representatives were confined to the island of Anjediva while negotiations continued. Angered by the back-tracking, Charles II leased these lands to the British East India Company for a nominal annual rent. Gerald Aungier, second Governor (1672), and the president of the English settlement of Surat, took possession of Colaba and Old Woman's Island on behalf of the Company in 1675.",Mumbai,"If you are here for the first time like us, it is a convenient choice to use Colaba as a base for travel. Most of the popular tourist attractions are nearby, such as the Taj Mahal, India Gate, the pier to Elephantana, Colaba causeway, and so on. Buy cheap travel souvenirs here and there are some western restaurants if you donâ€™t like curries at all. Itâ€™s a great area where you can explore on foot, stroll along the seaside or wander among charming colonial-style buildings. It has a charm (in an Indian way).",4.6,18.915091,72.8259691,Neighborhoods
Jehangir Art Gallery,"Art Museums, Fine Art Galleries","Coordinates: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}18Â°55â€²39â€³N 72Â°49â€²54â€³Eï»¿ / ï»¿18.9274559Â°N 72.831703Â°Eï»¿ / 18.9274559; 72.831703Jehangir Art Gallery is an art gallery in Mumbai (India). It was founded by Sir Cowasji Jehangir at the urging of K. K. Hebbar and Homi Bhabha. It was built in 1952. Managed by the Committee of Management, the entire cost of this mansion was donated by Cowasji Jehangir. This gallery is situated at Kala Ghoda, behind the Prince of Wales Museum, in South Mumbai near the Gateway of India, and has four exhibition halls. The gallery was designed by G.M.Bhuta for G.M. Bhuta & Associates.[1][citation needed]. The gallery closed for 11 months as a part of the COVID-19 lockdown in India and was partially re-opened on 16 February 2021.[2]
The gallery was inaugurated on 21 January 1952, by then Chief Minister of Bombay State, B. G. Kher and dedicated it to the memory of Sir Cowasji's late son, Jehangir.[3] A mammoth institution in itself, its history is linked with the renaissance of Indian art. The complex also has the popular cafe of Samovar, which is reminiscent of the 1970s socialist culture. It also houses Natesans, the country's oldest licensed antique dealers. Entry is free of charge.
The building has been designed by Durga Bajpai and is one of the early concrete structures in the city. The gallery has been turned inwards due to a combined function of an auditorium and an art gallery. Although the concept of an introvert art gallery could be questioned today, the Jehangir is an example of an early modernist notion of the inward looking art galleries in the city. Moreover, the function of the auditorium left no scope for the gallery to be open to the street. 
The play with concrete can be easily seen with a large wavy cantilevered entrance which embraces the street. The otherwise bland facade is articulated with relief stone cladding.",Mumbai,"The Indian Gate of Mumbai is leaning on the Indian Ocean, and the British forces landed in Mumbai, with majestic welcoming ceremonies and buildings on both sides. The background of the construction of the Indian Gate is engraved on it. Itâ€™s just that the Indian Ocean is really dirty, the sea is yellow, not blue at all.",4.3,18.927135300000003,72.83160487077883,"Museums, Art"
Zaveri Bazaar,Gardens,"Coordinates: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}18Â°57â€²07â€³N 72Â°49â€²51â€³Eï»¿ / ï»¿18.951808Â°N 72.830697Â°Eï»¿ / 18.951808; 72.830697
Zaveri Bazaar is a jewellery market and a major hub for B2B and B2C jewellery industry in Mumbai, India. Located at Bhuleshwar in South Mumbai, just north of Crawford Market, Zaveri Bazaar is a muddle of narrow lanes, dotted with hundreds of jewellery shops that sell gems and jewels, notably Tribhovandas Bhimji Zaveri (TBZ), Dwarkadas Chandumal, Dhirajlal Bhimji Zaveri & UTZ.[1] 65% of all gold trading and dealing in India is estimated to originate from the market.[2] During the early 19th century a jeweller named Ambalal Zaveri was very famous for his great quality of gold, due to his death his great reputation slowly collapsed due to disputes between his sons.
The market houses the headquarters of many jewellery institutions of India including Jagawat Sons (of Mankhush Jagawat) and Tribhovandas Bhimji Zaveri, one of the biggest jewellery retailers of India, established in 1864. A variety of gems and precious stones are available in the market as well as ornaments of traditional Indian designs to modern designs made of every possible gem and precious metal. Zaveri Bazaar is regarded as being secured because it has CCTVs installed in order to avoid almost any crime, private protection involved for every shop, the industry is under 24 hours vigilance because it does a huge trade in diamond and also other metal jewellery. Zaveri Bazaar is also famous for photo frames, clips, tea-sets, dinnerware, toys and other luxury lifestyle articles crafted out of expensive metals. Zaveri Bazaar gets the maximum credit of jewellery and gems export from the country.[citation needed]
It has been the target of three attacks in Mumbai since 1993. It was one of the 12 areas bombed during the 1993 Bombay bombings, followed by the 25 August 2003 Mumbai bombings and the more recent 13 July 2011 Mumbai bombings.[2][3]",Mumbai,#camping #pune #pashanlake #pashan Best place near Pune for Camping and night out with friends. Food easily available for veg and non veg. Music Barbeque can be organized,4.7,18.9494725,72.8307161,Nature
Dhobi Ghat,"Featured Neighborhoods, Factories","Coordinates: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}18Â°58â€²58.52â€³N 72Â°49â€²31.47â€³Eï»¿ / ï»¿18.9829222Â°N 72.8254083Â°Eï»¿ / 18.9829222; 72.8254083
Mahalakshmi Dhobi Ghat is an open air laundry place in Mumbai, India.[1] It is located at Mahalaxmi railway station in southern Mumbai, it is also accessible from the Jacob Circle monorail station. The washers, known as dhobis, work in the open to clean clothes and linens from Mumbai's hotels and hospitals. It was constructed in 1890.[2]
The phrase dhobi ghat is used all over India to refer to any place where many washers are present. Inspired by the Mumbai Dhobi Ghat (then Bombay), the British built Dhobi Ghat in Kolkata (then Calcutta) in 1902[3] and there are other dhobi ghat places all over southern Asia.",Mumbai,"The Indians call Shanghai the Little Mumbai of the East, and there is a joke: Indians ask, how long will it take for Shanghai to surpass Mumbai? The answer is more than five years, haha [screaming teeth]. Mumbai's status in India is equivalent to that of Shanghai. It is a person and the economy is prosperous. The software industry and the film industry are famous in the world. But I didn't expect to come to Mumbai this time and find that there is one of the world's most, that is, thousands of people are concentrated in washing clothes. Why? Why not use a washing machine? It turned out that the labor cost in India was cheaper than the washing machine. Now, it has become a punching place for tourist attractions. Haha, it seems that India is very inclusive, the world is large, the world is strange, and the inside is very dirty and messy. Just come and see, nothing fun.",4.4,24.87787915,67.01249692834976,"Neighborhoods, Industrial"
Sula Vineyards,Wineries/Distilleries,"Coordinates: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}20Â°00â€²24.8â€³N 73Â°41â€²18.5â€³Eï»¿ / ï»¿20.006889Â°N 73.688472Â°Eï»¿ / 20.006889; 73.688472
Sula Vineyards (or ""Sula"") is a winery and vineyard located in the Nashik region of western India, 180Â km northeast of Mumbai. It was founded by Rajeev Samant in 1999.[2] Sula has grown to be Indiaâ€™s largest and most awarded wine brand. Sula introduced grape varietals such as Chenin blanc, Sauvignon blanc, Riesling and Zinfandel in India and is the leading player in the Indian wine industry.[3]
Sula Vineyards was founded by Mr. Rajeev Samant in the late 1990s. An alumnus of Stanford University, he worked at Oracle in California after his graduation. After quitting his corporate job, Mr. Samant established Sula upon his return to India.[4]
Sula was named after Samant's mother â€“ 'Sulabha'. Samant steadily grew the company over the next few years by introducing newer grape varieties and expanding the company's offerings.[4] Over the last few decades, the Nashik region has transformed and is often referred to as ""Indiaâ€™s Napa Valley"".[5]",Nashik,"This is a great place to recreate all aspects of life for children. However, some activities are very limited and parents are not allowed to queue for their children. It would be very frustrating if a child missed another opportunity to wait 30 minutes. Parents couldn't do anything there except the spa. So best parents don't go in. The guy at the biscuit event was rough, the guy in the studio was a gentleman. People like the studio would have repeat customers. The biscuit event business would end soon.",3.7,20.0046995,73.6869947,Food & Drink
